field_name,semantic_path,page,input_type,pdf_field_type,alignment,multiline,read_only,font_size,max_length,rect_pdf_llx,rect_pdf_lly,rect_pdf_urx,rect_pdf_ury,tooltip,calculation
p2_labor_02_event_related,labor[1].event_related,2,boolean_mark,text,center,False,False,10,1,725.04,394.56,757.44,417.6,Labor row 2: Event Related (enter X for yes),
p2_labor_03_category,labor[2].category,2,text,text,center,False,False,7,30,50.76,369.72,105.12,392.4,Labor row 3: Category,
p2_labor_03_description,labor[2].description_of_work,2,text,text,left,True,False,6.5,500,107.28,369.72,381.24,392.4,Labor row 3: Description of Work Performed,
p2_labor_03_location,labor[2].work_location_gps,2,text,text,left,True,False,6.5,300,383.4,369.72,577.08,392.4,Labor row 3: Work Location / GPS Coordinates,
p2_labor_03_start_time,labor[2].start_time,2,text,text,center,False,False,7.5,8,579.24,369.72,625.68,392.4,Labor row 3: Start Time,
p2_labor_03_end_time,labor[2].end_time,2,text,text,center,False,False,7.5,8,627.84,369.72,674.28,392.4,Labor row 3: End Time,
p2_labor_03_labor_hours,labor[2].labor_hours,2,text,text,center,False,False,7.5,12,676.44,369.72,722.88,392.4,Labor row 3: Labor Hours,
p2_labor_03_event_related,labor[2].event_related,2,boolean_mark,text,center,False,False,10,1,725.04,369.72,757.44,392.4,Labor row 3: Event Related (enter X for yes),
p2_labor_04_category,labor[3].category,2,text,text,center,False,False,7,30,50.76,344.88,105.12,367.56,Labor row 4: Category,
p2_labor_04_description,labor[3].description_of_work,2,text,text,left,True,False,6.5,500,107.28,344.88,381.24,367.56,Labor row 4: Description of Work Performed,
p2_labor_04_location,labor[3].work_location_gps,2,text,text,left,True,False,6.5,300,383.4,344.88,577.08,367.56,Labor row 4: Work Location / GPS Coordinates,
p2_labor_04_start_time,labor[3].start_time,2,text,text,center,False,False,7.5,8,579.24,344.88,625.68,367.56,Labor row 4: Start Time,
p2_labor_04_end_time,labor[3].end_time,2,text,text,center,False,False,7.5,8,627.84,344.88,674.28,367.56,Labor row 4: End Time,
p2_labor_04_labor_hours,labor[3].labor_hours,2,text,text,center,False,False,7.5,12,676.44,344.88,722.88,367.56,Labor row 4: Labor Hours,
